event_type,index,timestamp_s,value,detail
residual_peak,46,0.046369999999996026,0.8937958365038786,top_19
residual_peak,79,0.07949100000001863,1.2257741237602977,top_13
residual_peak,129,0.12966400000001954,1.1004292569897893,top_14
residual_peak,295,0.2963749999999834,1.083006638744012,top_15
dt_outlier,528,0.5304319999999905,0.0014709999999809042,dt>0.001438266
dt_outlier,1641,1.6482169999999883,0.0014720000000068012,dt>0.001438266
dt_outlier,2754,2.766001000000017,0.001471000000009326,dt>0.001438266
dt_outlier,3867,3.8837859999999864,0.0014719999999783795,dt>0.001438266
dt_outlier,4980,5.001570000000015,0.001472000000035223,dt>0.001438266
dt_outlier,6093,6.119355000000013,0.0014730000000042764,dt>0.001438266
dt_outlier,7206,7.237138999999985,0.0014719999999783795,dt>0.001438266
dt_outlier,8319,8.354923999999983,0.0014729999999758547,dt>0.001438266
dt_outlier,9432,9.472708000000011,0.0014720000000068012,dt>0.001438266
dt_outlier,10545,10.59049300000001,0.0014730000000042764,dt>0.001438266
dt_outlier,11658,11.70827700000001,0.0014720000000068012,dt>0.001438266
residual_peak,15922,15.990781999999996,1.4955333544781286,top_10
residual_peak,16083,16.152271000000013,2.5006486925226152,top_1
residual_peak,16113,16.182357999999994,1.2776218562218107,top_12
residual_peak,16226,16.295830000000024,1.6424984588699374,top_7
residual_peak,16372,16.442178000000013,1.0492033415697815,top_16
residual_peak,16403,16.473336000000018,1.4375046348281217,top_11
dt_outlier,16409,16.479714,0.0014709999999809042,dt>0.001438266
residual_peak,16475,16.545958000000013,2.231570099029596,top_3
residual_peak,16478,16.548902,1.7893920159561998,top_5
residual_peak,16496,16.566934000000003,1.9936395561171338,top_4
residual_peak,16594,16.665414999999996,1.5682262100779947,top_8
residual_peak,16613,16.684453999999988,1.687165708000311,top_6
residual_peak,16774,16.846258000000006,0.9468877335237244,top_17
residual_peak,16815,16.887512000000015,0.8667763599330587,top_20
residual_peak,16874,16.94660300000001,2.4765765239186015,top_2
residual_peak,16877,16.949547000000024,1.5600383753439182,top_9
dt_outlier,17522,17.597499,0.0014720000000068012,dt>0.001438266
dt_outlier,18635,18.715283,0.001471000000009326,dt>0.001438266
dt_outlier,19748,19.833067999999997,0.0014719999999783795,dt>0.001438266
dt_outlier,20861,20.950852999999995,0.0014720000000068012,dt>0.001438266
dt_outlier,21974,22.068637000000024,0.0014710000000377477,dt>0.001438266
dt_outlier,23087,23.18642200000002,0.0014730000000326982,dt>0.001438266
dt_outlier,24200,24.304205999999994,0.0014720000000068012,dt>0.001438266
dt_outlier,25313,25.42199099999999,0.0014729999999758547,dt>0.001438266
dt_outlier,26426,26.53977499999999,0.0014719999999783795,dt>0.001438266
dt_outlier,27539,27.65755999999999,0.0014730000000042764,dt>0.001438266
dt_outlier,28652,28.77534400000002,0.0014720000000068012,dt>0.001438266
dt_outlier,29765,29.893129000000016,0.0014730000000042764,dt>0.001438266
residual_peak,29964,30.092959999999977,0.9401329274912731,top_18
dt_outlier,30878,31.01091200000002,0.001471000000009326,dt>0.001438266
dt_outlier,31991,32.12869700000002,0.0014720000000068012,dt>0.001438266
dt_outlier,33104,33.24648099999999,0.0014709999999809042,dt>0.001438266
dt_outlier,34217,34.364265999999986,0.0014720000000068012,dt>0.001438266
dt_outlier,35330,35.482050000000015,0.001471000000009326,dt>0.001438266
dt_outlier,38968,39.135704000000004,0.0014719999999783795,dt>0.001438266
